vaultIdx,tokenName,owner,cdr,collateral,debt
162,WETH,0xA1958a37C21372482DEfF4618BAEbbeC23C9a449,1699692505392629800,2222222222222222300,2420.9999999999995
163,WETH,0xa31Cd363CD2867e98Fb0102e07e0C226f8346E48,0,0,0
164,WETH,0xBc277188Ab8C9983B8098d6CBD7b0205a819BfB8,0,0,0
165,WETH,0x73f13990070D5dd94c8E4Ea9562f2d617d0487D7,0,0,0
166,WETH,0x129759bdC87797e4A8FfE91197A835896fbB128a,105211931818181820,25000000000000000,440
167,WETH,0x459e9E7Fa2631cE07a8369bEEaEbCE0a660B9eCC,0,0,0
168,WETH,0xfC4B2a62A06cb2E1C6A743E9aE327Bb16977E4c1,0,0,0
169,WETH,0x49F5b5827F834A8A5aa8ABbf7d4b63cAfA25245b,143529521962440060,25916666666666668,334.3609628911413
170,WETH,0x5273611F2cAAdCDA536495909eA87bD2bB9cB9f9,0,0,0
171,WETH,0x0B1Cd3a79016c4EaDBBBE96f0D184a9Db6E852c7,0,0,0
173,WETH,0x34C1a9ac363980C3F735263a7A439Bb8f2724586,559542664222988200,27222222222222224,90.08822522149435
174,WETH,0x789B3A661e6A48D386A3246606FCa9a8fFD1a75a,139451271604938270,33888888888888890,450
176,WETH,0xF50f5d10269fc4F1606458BB8b9e88DbBAdB3C6a,741527987244696800,555555555555555.56,1.3873230769230769
177,WETH,0xd7E8701d260743D4c968cDD97c414BA09b890a19,0,0,0
178,WETH,0xc8390451711a3553E0A0CC398fA037cFfB76Cdaa,0,0,0
179,WETH,0x5227085573fDF8EA8654997DEc553836a50d3eF0,146483472222222240,1819444444444444.5,23
180,WETH,0xbE570979B8292DC4d1663BE3E307e3828fE76Ab9,Infinity,2851644197500711.5,0
181,WETH,0xecAF401a100ff4e390075a5D45f7dB021F90a0E4,Infinity,1093970157836971.5,0
182,WETH,0xF26dB9A22887f758d0D6D425B20429FB852209D2,154310833333333340,3333333333333333.5,40
183,WETH,0xeCB4C1245665e8A1F43826355aaB0Dd6bF336e05,118700641025641010,8333333333333333,130
184,WETH,0x72F8A4486fecAE174DA6d98C3c288587391b3Fc3,121028104575163410,277777777777777800,4250
185,WETH,0x9af03e7bB447Bb92e29ff8F54C6da3f8A5F88BCA,178911111111111100,11111111111111112,115
186,WETH,0x51d18E5F6FA6534bB2fbAaf90FD6f3336327fd16,95525753968253970,722222222222222200,14000
187,WETH,0xc3A8b0eE40098E32C1d749EBcDc6C144ada911CD,Infinity,444444444444444.44,0
188,WETH,0x1AF8AF5ab89536BDeC74F51676ae24fA7E70C21b,158861922601741380,19444444444444444,226.64878103846155
189,WETH,0x225509847509f66c9bd49cdA9714F481a3a6200E,0,0,0
190,WETH,0x07557E561E7baA14BC8ac7040271AA1443d566e9,97160387404321000,9444611111111112,180
191,WETH,0x73eB7A4756eF34B903d8f0D320138FA4f2e4Ec5b,92586500000000000,50000000000000000,1000
192,WETH,0xBcF0fD9C42cC8Cb2060C4930D2c1d277f18146a5,154310833333333300,16666666666666666,200
0,WBTC,0xc96ea79A32Ec5B74A25b15Bb331a03BcFF424d6D,Infinity,174613.125,0
1,WBTC,0xe00EaA2787a8830A485153b7Bf508Bc781E4A220,563634091.26,18569.5,1
2,WBTC,0xAd95A5fE898679B927C266eB2eDfAbC7fe268C27,0,0,0
3,WBTC,0x44E434b0Eb83534b697F9c77eF11fB981B637def,0,0,0
4,WBTC,0x73767570eBeC5800B75A48Cce2fc0a8D1031871D,0,0,0
5,WBTC,0xA0958d0b5496C93959B1725bBFe35872159C8511,0,0,0
6,WBTC,0x49a5492FDFe5AcC966dD5f41310dfDfe8dAA349C,0,0,0
7,WBTC,0xA4c63A2E8D0556dDB36C6544625284c663642387,0,0,0
8,WBTC,0x741DF195c5c1d860A13AF1A984303feB1cc7F001,0,0,0
9,WBTC,0x28a48d16D5E8D79F6de73f2c1b3B9e423f95B9F5,22363403.94621706,18788021.375,25500
10,WBTC,0x20665e0b5fb3e81ABefA4d2aB515bdf0e6Fa6700,0,0,0
11,WBTC,0x9f594F0aC95e4a57D7eBDB3ba5840e7A89F688ED,0,0,0
12,WBTC,0x34Ff77A853A14579d2120Ac08C5e342CEe08AD71,0,0,0
13,WBTC,0xc2B35534e47cdF3D787e01630129631d8270abFb,0,0,0
14,WBTC,0x8d530eDa738C0d8F2F10b52b44661d4BBb0AE336,0,0,0
15,WBTC,0x26E3ff43B7dc911A752F2E44378516aE575dD4C9,36725442.82666579,4597837.25,3800
16,WBTC,0xf2d11B31904370Fca59B7243002933D61e21a013,25441884.11341134,931250,1111
17,WBTC,0x1A69208eB1cf5576807e373FC01594cBCc3d022F,31397529.413147006,359005000,347058.0038325317
18,WBTC,0x4A83B22d21AE473E89Ec8337B1AFe65fa6Ae3E10,0,0,0
19,WBTC,0x1D6128628d63415a0aAAeD455eD1Ea38D880f645,0,0,0
20,WBTC,0x88c83537C12a90E8f361912A7239e9a8B9dFd92c,0,0,0
21,WBTC,0x2D6c3Aaaa53BE2989F8C0a49CD143BBae8a3aeac,0,0,0
22,WBTC,0xC0aEf1759A279CED58223F34E0fe6426610B1bEE,28632131.435863636,207529.25,220
23,WBTC,0x5D98609F4a43ED4d36DAe38A58365B352109C7a6,29421530.916693747,3877289.375,4000
24,WBTC,0x80B3153F39Aeec1EF68Adc038913698e103E6e1d,26380185.53875641,58114612.875,66865.87724439139
25,WBTC,0x0E79EEC7C868d82eedF8EBA351d4047823a53498,Infinity,23434.5,0
26,WBTC,0xfC4B2a62A06cb2E1C6A743E9aE327Bb16977E4c1,0,0,0
27,WBTC,0x657d54c9aC70b83A6D746adDF6C6Ad43E470Fa0A,5089499981.458603,19940.875,0.11892307692307692
28,WBTC,0x0B1Cd3a79016c4EaDBBBE96f0D184a9Db6E852c7,0,0,0
29,WBTC,0x947ebecd725e07baC225363F328De957AA5819b3,0,0,0
30,WBTC,0x69E9288E713C1f7325C48D70704F04b3F5b51A65,0,0,0
31,WBTC,0xd494033AecB97d4FF84b7fb2bE33e76FEd69F66A,0,0,0
32,WBTC,0x93A7D74AEba21B20734bDE2e13c049aEA26fE13C,20932882.75862069,1000000,1450
33,WBTC,0x49F5b5827F834A8A5aa8ABbf7d4b63cAfA25245b,Infinity,257851,0
34,WBTC,0xeCB4C1245665e8A1F43826355aaB0Dd6bF336e05,Infinity,50729.375,0
35,WBTC,0xE37af33bfD33c0d09b6d7Feb0fE2247B1eFa1B62,Infinity,11094.25,0
